timestamp,x_raw,y_raw,x_kalman,y_kalman,d_A1,d_A2,d_A3,rssi_A1,rssi_A2,rssi_A3,rejected_A1,rejected_A2,rejected_A3,weight_A1,weight_A2,weight_A3
2026-04-14 15:11:56.653,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:11:56.893,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:12:01.575,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:12:01.942,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:12:02.489,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:12:07.208,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:12:07.306,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:12:07.780,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:12:12.530,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:12:12.939,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:12:13.369,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:12:17.857,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:12:18.266,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:12:18.662,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:12:23.180,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:12:23.592,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:12:23.945,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:12:28.508,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:12:28.918,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:12:29.234,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:12:33.837,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
